_ba_pa_ma_fa_da_ta_na_la	爸趴妈发打他那拉
_dun_tun_nen_lun_pen_men_fen_e	顿屯嫩论喷门份额
_zhun_chun_shun_run_zun_cun_sun_en	准纯顺润尊村孙恩
_gun_kun_hun_wen_zu_cu_su_wu	滚坤混问祖粗俗五
_beng_peng_meng_feng_deng_teng_neng_leng	泵棚梦风登腾能冷
_zeng_ceng_seng_reng_geng_keng_heng_wu	增层僧仍更坑横屋
_dong_tong_nong_long_gong_kong_hong_ai	东通弄龙工控红爱
_zhong_chong_yong_rong_zong_cong_song_e	中冲雍容总从送额
_jiong_qiong_xiong_sheng_zheng_cheng_eng_e	囧穷凶生征程鞥额
_di_ti_ni_li_bi_pi_mi_e	地替你利弊披靡额
_ji_qi_xi_yin_qin_xin_ao_ang	机器吸引亲信奥昂
_bin_pin_min_nin_lin_ying_ming_e	斌贫民您林英名额
_ding_ting_ning_ling_qing_xing_ai_ou	丁听宁陵清醒艾欧
_bing_ping_fang_yin_fan_yi_fo_ei	并平方因翻译佛欸
_yi_sheng_yi_chen_yin_tian_yin_ei	医生依晨阴天音欸
_ju_qu_xun_yu_nv_lv_yun_e	据去训育女绿云额
_yu_pan_yu_mian_yu_ting_yu_fo	玉盘玉面欲停于佛
_yu_yi_yu_chuo_yu_sheng_yuan_fo	寓意于辍余生愿佛
_jun_qun_xun_yin_yun_pang_yun_ou	菌群巡音云旁云偶
_yun_mai_yun_fen_yun_tao_yun_ke	云麦云芬云涛云客
_yun_ne_yun_lu_yun_chi_yun_shi	韵讷韵路韵迟韵诗
_yun_hong_yun_rou_yun_ci_yun_si	云红云柔云慈云寺
_yan_kan_qian_han_xian_re_eng_ei	眼看前含显热鞥欸
_yi_ke_qi_he_xi_re_yi_wu	一刻起和吸热义务
_ai_xie_kei_qie_hei_xie_rou_ei	爱写剋且黑蟹肉欸
_yin_ken_qin_hen_xin_ruo_yin_wu	因恳亲狠心若因无
_ying_keng_qing_heng_xing_ru_ying_wu	应坑轻哼形如鹦鹉
_dia_yu_ku_qu_hu_xu_ru_ao	嗲欲哭去胡须如澳
_you_po_qie_fo_xiao_fei_ai_e	油泼且佛消费挨饿
_ong_pian_cong_mian_song_fen_a_ao	ong片从面送分啊奥
_me_pian_che_mian_she_feng_ai_fo	么片扯面蛇蜂艾佛
_ye_er_pian_er_mi_er_fan_er	耶尔片儿米尔反而
_wo_er_shi_er_rong_er_ci_er	我儿时而从而刺耳
_er_ting_er_niu_er_ken_er_a	而听而纽尔肯儿啊
_er_qu_er_xiang_er_lia_er_ou	而去而香儿俩而偶
_er_sai_er_yin_er_wu_er_er	耳塞耳音而无尔尔
_er_yun_er_heng_er_ei_er_chi	而运而恒而欸而迟
_chi_e_er_ao_er_e_ang_ao	吃额而奥而恶昂奥
_zhi_chi_shi_ri_ci_ci_si_chi	支持十日次次四尺
_ci_shi_si_ri_yi_ci_yi_si	此时四日一次意思
_ci_pie_ci_min_ci_ting_ci_ke	此撇慈悯此亭此刻
_si_nie_si_lin_si_qing_si_e	斯涅斯林斯情斯和
_shi_feng_shi_xu_si_xu_ci_fo	诗风诗叙思绪此佛
_chi_pie_chi_min_chi_ting_chi_ke	吃撇吃民赤亭齿科
_shi_nie_shi_lin_shi_qing_shi_he	是聂世林诗情适合
_chi_a_eng_ao_zi_ai_qi_ao	吃啊鞥奥自爱齐奥
_chi_ei_ci_ei_yu_wu_ci_ao	吃欸此欸雨雾次奥
_yin_an_en_ei_yu_a_yi_ei	阴暗恩欸与阿姨欸
_ying_yi_ai_ying_ei_ci_en_ao	应以爱婴欸慈恩奥
_yu_e_yun_ei_yun_ao_yun_wu	余额云欸云傲云雾
_yu_ou_ong_ei_ying_ou_ong_ou	与偶ong欸应偶ong偶
_ci_hong_wo_ao_yin_e_chi_en	此红我凹印额吃嗯
_ying_ao_yi_ou_ong_ao_yu_ao	迎奥伊欧ong奥渝澳
_chi_ao_chi_wu_ci_wu	持奥池舞此物
